"","state","year","Methadone","Buprenorphine","prescribing_rate","unemployment_rate","percent_low_income_unisured_children","poverty_rate","governor_is_democrat_1_yes","federal_minimum_wage","state_minimum_wage","food_insecure_percent","log_gsp","tanf_caseload_per_receipt_percent","snap_caseload_per_receipt_percent","medicaid_beneficiaries_percent","wic_participation_percent","nslp_total_participation_percent","state_house_that_is_democrat_percent","state_senate_that_is_democrat_percent","totalgrm","totalpop","kgPer100000","pdmp","marijuana","nal","gsl","medicaid","pillmill","prescription_opioid_overdose_deaths","trend"
"Connecticut.10","Connecticut",2015,12.0568814942998,1.40838698526855,62.3,5.7,1.6,9.1,1,6.87589493329054,8.67785360546324,14.38694,12.423515132987,50.0266423079851,56.1341592009702,22.721829654297,1.42848914446184,7.80174096587862,57.6158940397351,58.3333333333333,50526.01,3587509.01055548,1.40838698526855,1,1,1,1,1,0,11.3,9
"Connecticut.11","Connecticut",2016,11.8850213440274,1.52742160468347,55.9,5.1,0.9,9.8,1,6.7279376077978,8.90871738411847,12.00383,12.4269267897642,50.5632428596771,56.7490042794551,24.1249707810981,1.37440914347515,7.85553444307375,57.3333333333333,58.3333333333333,54661.44,3578674.01065914,1.52742160468347,1,1,1,1,1,0,19,10
"Connecticut.12","Connecticut",2017,13.3301834012155,1.65905877696539,48,4.7,1.1,10.9,1,6.60604173086676,9.20289951472473,13.3407382965088,12.4256618144338,50.8368591867598,57.3435946425438,24.7780771554636,1.33297697944141,7.892509709647,52.6666666666667,50,59292.77,3573880.01095738,1.65905877696539,1,1,1,1,1,0,24.4,11
"Delaware.1","Delaware",2006,6.42438837344181,0.0873336271669573,86.6,3.6,5.4,9.3,1,5.74624535865163,6.86202115644806,10.24169,11.020953054988,45.0814972561225,42.9404243660385,17.1108431828021,2.31592471731753,9.73479752533552,46,61.9047619047619,750.43,859268.101352746,0.0873336271669573,0,0,0,0,0,0,3.5,0
"Delaware.2","Delaware",2007,6.65983021713142,0.177606148311466,92.3,3.4,4.5,9.3,1,5.61512494416222,7.25059822886966,10.39174,11.0162060641437,47.7272727272727,43.3370544020243,16.8632255385438,2.34310564164685,9.8275994581009,46,61.9047619047619,1548.28,871749.100309749,0.177606148311466,0,0,0,0,0,0,3.7,1
"Delaware.3","Delaware",2008,6.2685217324668,0.358686831375696,95.4,4.9,6.2,9.6,1,6.23513559661295,7.62072128474916,10.11707,10.9700131336283,35.116969273743,43.6818981848473,17.5808995399797,2.51664830054963,9.99588176595307,46,61.9047619047619,3170.34,883874.099263856,0.358686831375696,0,0,0,0,0,0,5.6,2
"Delaware.4","Delaware",2009,6.6011700252439,0.542784190589947,97.5,8.3,5.8,12.3,1,6.86430484975189,7.49309613369863,11.17325,10.9997961623977,35.2532041262895,44.2512619181155,18.6430870330706,2.69453758424635,10.1009806555796,59,76.1904761904762,4840.17,891730.098980825,0.542784190589947,0,0,0,0,0,0,7.6,3
"Delaware.5","Delaware",2010,7.11607590216219,0.73475055758195,101.1,8.4,3.1,12.1,1,7.52583541444309,7.52583541444309,11.13348,10.9983231726145,35.0220713073005,44.889923831024,20.3627286781041,2.62560972492501,10.2243701481789,59,71.4285714285714,6609.78,899595.098199403,0.73475055758195,0,0,0,0,0,0,8.7,4
"Delaware.6","Delaware",2011,7.72866811711945,0.798253223400998,99.7,7.5,4.4,13.7,1,7.40306427636527,7.40306427636527,13.50218,11.0270536787508,35.1809378185525,45.8596129759055,22.052370483613,2.48404037377907,10.4328553522573,63,66.6666666666667,7242.68,907316.098160205,0.798253223400998,0,1,0,0,0,0,9.4,5
"Delaware.7","Delaware",2012,8.84237897994926,0.939567507409106,94,7.2,6.6,13.5,1,7.25,7.25,12.21708,11.0344992652509,35.2485089463221,46.9213107067782,22.9397262454762,2.42220305550437,10.4721685881241,63.4146341463415,66.6666666666667,8598.81,915188.09794855,0.939567507409106,0,1,0,0,0,0,5.7,6
