Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
234,Anthony Bowie\bowiean01,25-131,G-F,1989-03-20,SAS,@,BOS,L,0,13,4,7,.571,4,7,.571,0,0,,3,3,1.000,1,0,1,2,1,0,1,3,11,8.6
235,Trey Burke\burketr01,21-008,G,2013-11-20,UTA,@,NOP,L,0,12,5,8,.625,4,6,.667,1,2,.500,0,0,,0,1,1,1,1,0,0,2,11,8.6
236,Chris Duhon\duhonch01,22-066,G,2004-11-05,CHI,,NJN,L,0,38,2,5,.400,0,1,.000,2,4,.500,0,0,,0,3,3,8,1,0,1,3,6,8.6
237,Matt Fish\fishma01,24-351,C,1994-11-04,LAC,,POR,L,0,20,4,6,.667,4,6,.667,0,0,,2,3,.667,0,4,4,0,2,0,0,4,10,8.6
238,Armen Gilliam\gilliar01,23-162,F-C,1987-11-06,PHO,@,POR,L,1,39,5,12,.417,5,12,.417,0,0,,4,4,1.000,1,8,9,1,3,2,6,3,14,8.6
239,Jeff Grayer\grayeje01,22-341,F-G,1988-11-22,MIL,@,IND,L,0,31,6,13,.462,6,12,.500,0,1,.000,1,1,1.000,1,2,3,2,3,0,3,1,13,8.6
240,Kenny Green\greenke02,21-018,F,1985-10-29,WSB,@,CLE,W,0,20,4,10,.400,4,10,.400,0,0,,4,6,.667,1,4,5,1,0,2,0,3,12,8.6
241,Rondae Hollis-Jefferson\holliro01,20-298,F,2015-10-28,BRK,,CHI,L,0,24,4,6,.667,4,6,.667,0,0,,0,0,,0,5,5,0,2,1,1,0,8,8.6
242,Raef LaFrentz\lafrera01,22-252,F-C,1999-02-05,DEN,,MIN,L,1,25,4,7,.571,3,5,.600,1,2,.500,2,2,1.000,2,5,7,0,1,0,1,5,11,8.6
243,Felipe Lopez\lopezfe01,24-050,G,1999-02-07,VAN,@,SAC,L,0,19,1,4,.250,1,3,.333,0,1,.000,6,6,1.000,0,0,0,2,2,0,0,1,8,8.6
244,Jordan McRae\mcraejo01,24-307,G,2016-01-29,PHO,@,NYK,L,0,25,4,9,.444,3,7,.429,1,2,.500,3,4,.750,0,2,2,4,1,0,2,2,12,8.5
245,Bobby Hurley\hurlebo01,22-130,G,1993-11-05,SAC,,DEN,W,1,24,2,5,.400,2,5,.400,0,0,,3,4,.750,1,1,2,7,2,0,3,1,7,8.4
246,Kyle Singler\singlky01,24-180,F,2012-10-31,DET,,HOU,L,0,16,4,5,.800,2,3,.667,2,2,1.000,0,0,,0,2,2,0,0,1,1,0,10,8.4
247,Bob Sura\surabo01,22-223,G,1995-11-03,CLE,@,ORL,L,0,16,2,5,.400,1,3,.333,1,2,.500,1,2,.500,0,1,1,6,2,0,1,0,6,8.4
248,Jonas Valanciunas\valanjo01,20-178,C,2012-10-31,TOR,,IND,L,1,23,6,15,.400,6,15,.400,0,0,,0,0,,6,4,10,0,0,1,0,4,12,8.4
249,Mike James\jamesmi02,27-061,G,2017-10-18,PHO,,POR,L,0,11,5,10,.500,3,7,.429,2,3,.667,0,0,,1,1,2,1,1,0,1,1,12,8.3
250,Curtis Kitchen\kitchcu01,22-310,F,1986-12-06,SEA,@,HOU,W,0,8,1,2,.500,1,2,.500,0,0,,3,4,.750,1,2,3,1,2,1,0,0,5,8.3
251,Shaquille O'Neal\onealsh01,20-245,C,1992-11-06,ORL,,MIA,W,1,32,4,8,.500,4,8,.500,0,0,,4,7,.571,5,13,18,2,1,3,8,6,12,8.3
252,Willie Reed\reedwi02,25-202,F-C,2015-12-04,BRK,@,NYK,L,0,11,3,4,.750,3,4,.750,0,0,,2,4,.500,2,2,4,0,0,1,0,0,8,8.3
253,Antoine Carr\carran01,23-095,F-C,1984-10-26,ATL,@,NJN,W,0,19,4,5,.800,4,5,.800,0,0,,2,2,1.000,0,3,3,0,1,2,2,3,10,8.2
254,Chris Corchiani\corchch01,23-282,G,1992-01-04,ORL,@,DEN,L,1,33,4,9,.444,3,8,.375,1,1,1.000,1,2,.500,1,7,8,5,1,0,2,5,10,8.2
255,Ike Diogu\dioguik01,22-073,F,2005-11-23,GSW,,SAS,L,0,14,4,7,.571,4,7,.571,0,0,,3,3,1.000,1,2,3,0,1,0,1,2,11,8.2
256,Acie Earl\earlac01,23-135,F-C,1993-11-05,BOS,,NYK,L,0,19,6,10,.600,6,10,.600,0,0,,3,3,1.000,0,4,4,0,1,0,2,6,15,8.2
257,Jerome Harmon\harmoje01,26-011,G,1995-02-17,PHI,@,ORL,L,0,27,5,11,.455,5,11,.455,0,0,,2,2,1.000,1,1,2,1,1,0,0,2,12,8.2
258,Mike Smith\smithmi03,24-323,F,2001-03-04,WAS,,UTA,L,0,16,3,7,.429,2,4,.500,1,3,.333,4,4,1.000,0,2,2,1,1,0,1,1,11,8.2
259,Brad Sellers\sellebr01,23-319,C-F,1986-11-01,CHI,@,NYK,W,0,25,4,8,.500,4,8,.500,0,0,,0,0,,3,5,8,1,0,2,0,4,8,8.1
