Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1203,Earl Boykins\boykiea01,22-250,G,1999-02-07,NJN,,ATL,W,0,16,3,6,.500,3,5,.600,0,1,.000,0,0,,0,1,1,1,0,0,2,2,6,1.2
1204,Travis Diener\dienetr01,23-276,G,2005-12-02,ORL,@,MEM,L,0,13,1,3,.333,0,0,,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,1.2
1205,Billy Donovan\donovbi01,22-196,G,1987-12-12,NYK,@,DET,L,0,13,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,4,1,0,1,3,0,1.2
1206,Jay Edwards\edwarja02,21-019,G,1990-01-22,LAC,@,SAC,L,0,12,0,2,.000,0,1,.000,0,1,.000,0,0,,1,0,1,3,1,0,0,3,0,1.2
1207,Francisco Garcia\garcifr01,23-305,F-G,2005-11-01,SAC,@,NOK,L,0,13,1,6,.167,1,4,.250,0,2,.000,3,3,1.000,0,1,1,1,0,0,1,0,5,1.2
1208,A.C. Green\greenac01,22-022,F-C,1985-10-26,LAL,@,SAS,W,0,19,1,3,.333,1,3,.333,0,0,,1,2,.500,2,1,3,0,0,0,1,1,3,1.2
1209,Antonio Harvey\harvean01,23-122,F-C,1993-11-05,LAL,,PHO,W,1,14,1,4,.250,1,4,.250,0,0,,0,0,,0,3,3,0,3,1,1,5,2,1.2
1210,Juaquin Hawkins\hawkiju01,29-120,G-F,2002-10-30,HOU,@,IND,L,0,21,1,1,1.000,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,1.2
1211,Kevin Henderson\hendeke01,22-327,G,1987-02-12,GSW,,BOS,L,0,14,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,3,1,0,1,3,2,1.2
1212,Lindsey Hunter\hunteli01,22-337,G,1993-11-05,DET,,MIN,W,0,11,1,3,.333,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,2,2,1.2
1213,Steven Hunter\huntest01,19-364,C,2001-10-30,ORL,,TOR,W,0,4,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,1.2
1214,Les Jepsen\jepsele01,23-135,C,1990-11-06,GSW,,LAC,W,0,7,1,4,.250,1,4,.250,0,0,,0,0,,1,3,4,0,0,0,0,0,2,1.2
1215,Brandon Knight\knighbr03,20-024,G,2011-12-26,DET,@,IND,L,0,17,3,9,.333,0,3,.000,3,6,.500,0,0,,0,1,1,0,1,0,4,0,9,1.2
1216,Alex Len\lenal01,20-136,C,2013-10-30,PHO,,POR,W,0,8,1,1,1.000,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,1,3,2,1.2
1217,Tibor Pleiss\pleisti01,25-362,C,2015-10-30,UTA,@,PHI,W,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2
1218,Charles Shackleford\shackch01,22-196,F-C,1988-11-04,NJN,,ATL,L,0,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2
1219,Leonard Taylor\taylole01,23-185,F,1989-11-03,GSW,@,PHO,L,0,5,0,2,.000,0,2,.000,0,0,,3,4,.750,0,0,0,0,0,0,0,0,3,1.2
1220,Brooks Thompson\thompbr01,24-109,G,1994-11-05,ORL,,PHI,W,0,4,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,1.2
1221,Mike Tobey\tobeymi01,22-128,C,2017-02-15,CHO,@,TOR,L,0,11,1,3,.333,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,2,2,1.2
1222,Jayson Williams\willija01,22-253,F-C,1990-11-02,PHI,@,CHI,W,0,4,1,2,.500,1,2,.500,0,0,,1,2,.500,2,0,2,0,0,0,1,2,3,1.2
1223,Marcus Williams\willima03,20-333,G,2006-11-01,NJN,,TOR,W,0,23,2,9,.222,2,5,.400,0,4,.000,3,3,1.000,0,8,8,3,0,0,4,2,7,1.2
1224,Mike Batiste\batismi01,24-345,F,2002-11-01,MEM,@,DET,L,0,10,0,4,.000,0,4,.000,0,0,,2,2,1.000,0,2,2,1,1,0,0,1,2,1.1
1225,John Battle\battljo01,22-351,G,1985-10-26,ATL,@,MIL,L,0,6,0,3,.000,0,3,.000,0,0,,4,6,.667,0,0,0,0,0,0,0,0,4,1.1
1226,Tom Copa\copato01,27-002,C,1991-11-01,SAS,,DAL,W,0,5,1,3,.333,1,3,.333,0,0,,1,1,1.000,1,1,2,0,0,0,0,3,3,1.1
1227,Bruce Douglas\douglbr01,22-206,G,1986-11-01,SAC,@,SEA,L,0,9,1,2,.500,1,2,.500,0,0,,0,2,.000,1,2,3,0,0,0,0,1,2,1.1
1228,Tyus Edney\edneyty01,22-262,G,1995-11-03,SAC,,MIN,W,0,16,1,4,.250,1,4,.250,0,0,,2,2,1.000,0,1,1,2,0,0,1,3,4,1.1
1229,Jorge Garbajosa\garbajo01,28-317,F,2006-11-01,TOR,@,NJN,L,0,21,1,8,.125,1,5,.200,0,3,.000,0,0,,1,4,5,2,1,0,0,0,2,1.1
1230,Drew Gordon\gordodr01,24-124,F,2014-11-13,PHI,@,DAL,L,0,13,1,4,.250,1,3,.333,0,1,.000,0,0,,1,4,5,0,0,0,0,1,2,1.1
1231,John Lucas III\lucasjo02,23-040,G,2005-12-31,HOU,,GSW,L,0,1,0,0,,0,0,,0,0,,0,0,,2,0,2,1,0,0,1,0,0,1.1
1232,Bostjan Nachbar\nachbbo01,22-119,F,2002-10-30,HOU,@,IND,L,0,12,1,2,.500,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,2,2,1.1
1233,Drazen Petrovic\petrodr01,25-012,G,1989-11-03,POR,,SAC,W,0,10,3,7,.429,2,6,.333,1,1,1.000,0,0,,1,4,5,1,0,0,4,2,7,1.1
1234,Leon Smith\smithle01,21-076,C,2002-01-17,ATL,,CHI,L,0,9,0,2,.000,0,2,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,2,2,1.1
1235,Irving Thomas\thomair01,24-336,F,1990-12-04,LAL,,DET,W,0,3,0,0,,0,0,,0,0,,1,2,.500,0,1,1,0,1,0,0,2,1,1.1
1236,Perry Young\youngpe01,23-179,G,1987-01-30,CHI,@,PHI,L,0,11,1,3,.333,1,3,.333,0,0,,1,2,.500,0,0,0,0,1,0,0,2,3,1.1
1237,Alaa Abdelnaby\abdelal01,22-131,F-C,1990-11-02,POR,,HOU,W,0,5,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0,1.0
1238,Jerome Beasley\beaslje01,23-165,F,2003-10-29,MIA,@,BOS,L,0,3,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1239,Uwe Blab\blabuw01,23-214,C,1985-10-26,DAL,,SEA,W,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0
1240,Ira Bowman\bowmair01,26-259,G,2000-02-25,PHI,@,MIL,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1241,Rodney Buford\buforro01,22-000,G-F,1999-11-02,MIA,,DET,W,0,4,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0
1242,Andrew Bynum\bynuman01,18-006,C,2005-11-02,LAL,@,DEN,W,0,5,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,0,0,2,0,0,0,1.0
1243,Nick Calathes\calatni01,24-265,G,2013-10-30,MEM,@,SAS,L,0,5,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,1,0,2,1.0
1244,Ron Cavenall\cavenro01,25-194,C,1984-11-10,NYK,,KCK,W,0,4,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1245,Kenton Edelin\edelike01,22-232,F,1985-01-11,IND,@,DET,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1246,Jerami Grant\grantje01,20-262,F,2014-11-29,PHI,,DAL,L,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0
1247,Devin Green\greende01,23-009,G,2005-11-03,LAL,,PHO,L,0,9,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0
1248,Scott Haffner\haffnsc01,23-274,G,1989-11-03,MIA,,NJN,L,0,7,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1249,Josh Harrellson\harrejo01,22-316,C,2011-12-25,NYK,,BOS,W,0,9,0,0,,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,0,0,1.0
1250,Elias Harris\harriel01,24-116,F,2013-10-30,LAL,@,GSW,L,0,8,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.0
1251,Reggie Jackson\jacksre01,21-259,G,2011-12-31,OKC,,PHO,W,0,5,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0
1252,Chris Jefferies\jeffech01,22-261,G-F,2002-11-01,TOR,@,SAS,L,0,3,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,1.0
1253,Carldell Johnson\johnsca01,28-332,G,2011-12-26,NOH,@,PHO,W,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0
1254,DeQuan Jones\jonesde01,22-137,F,2012-11-04,ORL,,PHO,W,1,16,1,3,.333,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,0,0,2,1.0
1255,Cedric Lewis\lewisce01,26-205,F-C,1996-04-16,WSB,@,ORL,L,0,2,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.0
1256,Jeremy Lin\linje01,22-067,G,2010-10-29,GSW,,LAC,W,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1257,Raul Lopez\lopezra01,23-197,G,2003-10-29,UTA,,POR,W,0,6,0,0,,0,0,,0,0,,0,0,,0,1,1,3,0,0,1,1,0,1.0
1258,Vernon Macklin\macklve01,25-099,F,2011-12-28,DET,,CLE,L,0,2,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1259,Clint McDaniel\mcdancl01,23-340,G,1996-02-01,SAC,,CHI,L,0,3,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0
1260,Fab Melo\melofa01,22-226,C,2013-02-01,BOS,,ORL,W,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1261,Aaron Miles\milesaa01,22-203,G,2005-11-02,GSW,,ATL,W,0,10,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,5,0,0,2,1,0,1.0
1262,Ivano Newbill\newbiiv01,23-363,F,1994-12-10,DET,@,CLE,L,0,5,1,3,.333,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,1,0,2,1.0
1263,Andre Owens\owensan01,25-007,G,2005-11-07,UTA,@,CHA,W,0,3,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0
1264,Larry Owens\owensla01,28-008,F,2011-01-16,SAS,,DEN,W,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0
1265,Zarko Paspalj\paspaza01,23-228,F,1989-11-10,SAS,@,UTA,L,0,4,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,0,0,1,1,0,2,1.0
1266,Ruben Patterson\patteru01,23-189,F,1999-02-05,LAL,,HOU,W,0,4,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,1.0
1267,Mike Penberthy\penbemi01,25-349,G,2000-11-12,LAL,,HOU,W,0,9,1,3,.333,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0
1268,Efthimi Rentzias\rentzef01,26-301,C,2002-11-08,PHI,,CLE,W,0,4,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0
1269,Josh Selby\selbyjo01,20-276,G,2011-12-28,MEM,,OKC,L,0,10,1,2,.500,1,2,.500,0,0,,1,1,1.000,0,0,0,2,0,0,2,1,3,1.0
1270,Scott Skiles\skilesc01,22-251,G,1986-11-11,MIL,,IND,W,0,13,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,5,0,0,2,1,0,1.0
1271,Tom Sluby\slubyto01,22-259,G,1984-11-03,DAL,,PHO,L,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0
1272,Nik Stauskas\stausni01,21-022,G,2014-10-29,SAC,,GSW,L,0,26,3,10,.300,1,3,.333,2,7,.286,1,1,1.000,0,0,0,0,0,0,1,3,9,1.0
1273,Derek Strong\stronde01,24-042,F,1992-03-22,WSB,@,MIL,L,0,12,0,4,.000,0,4,.000,0,0,,3,4,.750,1,4,5,1,0,0,1,1,3,1.0
1274,Marquis Teague\teaguma01,19-248,G,2012-11-02,CHI,@,CLE,W,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,0,1,0,1.0
1275,Adonis Thomas\thomaad01,20-341,F,2014-03-01,ORL,@,MIA,L,0,5,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0
1276,James Thomas\thomaja02,24-048,F,2005-01-09,POR,@,NYK,L,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,0,0,1.0
1277,Klay Thompson\thompkl01,21-320,G-F,2011-12-25,GSW,,LAC,L,0,19,2,8,.250,1,5,.200,1,3,.333,2,2,1.000,1,2,3,1,0,0,2,3,7,1.0
1278,John Turner\turnejo01,23-342,F,1991-11-07,HOU,,CLE,W,0,2,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1279,Jarvis Varnado\varnaja01,24-299,F,2012-12-25,BOS,@,BRK,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1280,Bonzi Wells\wellsbo01,22-133,G-F,1999-02-08,POR,@,VAN,W,0,3,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0
1281,Doug West\westdo01,22-160,G-F,1989-11-03,MIN,@,SEA,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0
1282,Trevor Wilson\wilsotr01,22-235,F,1990-11-06,ATL,@,SAC,W,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0
1283,Voise Winters\wintevo01,23-035,F,1985-11-16,PHI,@,WSB,L,0,2,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0
1284,Jeff Withey\witheje01,23-239,C,2013-11-01,NOP,@,ORL,L,0,5,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,1.0
1285,Lorenzen Wright\wrighlo02,21-001,F-C,1996-11-05,LAC,@,DEN,W,0,3,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
1286,Carlos Arroyo\arroyca01,22-092,G,2001-10-30,TOR,@,ORL,L,0,8,0,1,.000,0,1,.000,0,0,,0,2,.000,0,0,0,2,1,0,0,0,0,0.9
1287,Milos Babic\babicmi01,21-363,C-F,1990-11-21,CLE,,MIA,W,0,7,2,4,.500,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,1,2,4,0.9
1288,Earl Barron\barroea01,24-080,C,2005-11-02,MIA,@,MEM,W,0,2,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9
1289,Jon Barry\barryjo01,23-136,G,1992-12-08,MIL,@,POR,L,0,3,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,0,0,2,0.9
1290,Rick Calloway\callori01,23-329,F,1990-11-06,SAC,,ATL,L,0,4,1,3,.333,1,3,.333,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,3,0.9
1291,Tony Campbell\campbto01,22-172,F-G,1984-10-26,DET,,BOS,L,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9
1292,Radisav Curcic\curcira01,27-083,C,1992-12-18,DAL,@,SAS,L,0,3,0,0,,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0.9
1293,Malcolm Delaney\delanma01,27-230,G,2016-10-27,ATL,,WAS,W,0,20,2,7,.286,2,6,.333,0,1,.000,0,0,,0,1,1,5,1,0,3,2,4,0.9
1294,Michael Doleac\doleami01,21-235,C,1999-02-05,ORL,,NYK,W,0,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9
1295,Orien Greene\greenor01,23-271,G,2005-11-02,BOS,,NYK,W,0,11,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,2,2,0.9
1296,Jorge Gutierrez\gutiejo01,25-072,G,2014-03-09,BRK,,SAC,W,0,5,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,0.9
1297,Dave Johnson\johnsda01,21-358,G-F,1992-11-08,POR,,DEN,W,0,2,1,1,1.000,1,1,1.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,2,0.9
1298,Dontae' Jones\jonesdo01,22-153,F,1997-11-02,BOS,,ORL,L,0,10,2,6,.333,2,5,.400,0,1,.000,0,0,,0,0,0,0,1,1,1,1,4,0.9
1299,Reggie Jordan\jordare01,26-000,G,1994-01-26,LAL,,IND,W,0,3,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,2,2,0.9
1300,Sasha Kaun\kaunsa01,30-173,C,2015-10-28,CLE,@,MEM,W,0,6,0,0,,0,0,,0,0,,0,0,,1,0,1,1,1,1,1,3,0,0.9
1301,Chris King\kingch01,24-143,F,1993-12-14,SEA,,ORL,W,0,7,2,3,.667,2,3,.667,0,0,,1,2,.500,0,0,0,0,0,0,2,1,5,0.9
1302,Antonio Lang\langan02,22-173,F-G,1994-11-04,PHO,@,SAC,L,0,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9
1303,Todd Mitchell\mitchto01,22-161,F,1989-01-03,MIA,@,POR,L,0,15,2,3,.667,2,3,.667,0,0,,0,0,,2,1,3,1,0,0,3,3,4,0.9
1304,Terence Morris\morrite01,22-294,F,2001-11-01,HOU,,LAC,W,0,7,0,2,.000,0,2,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,1,2,0.9
1305,Andrew Nicholson\nichoan01,22-330,F,2012-11-02,ORL,,DEN,W,0,11,1,3,.333,1,3,.333,0,0,,0,0,,2,0,2,1,0,1,1,3,2,0.9
1306,Dirk Nowitzki\nowitdi01,20-231,F,1999-02-05,DAL,@,SEA,L,1,16,0,5,.000,0,4,.000,0,1,.000,2,2,1.000,0,0,0,4,0,0,0,1,2,0.9
1307,J.J. O'Brien\obriejj01,23-283,F,2016-01-16,UTA,,LAL,W,0,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,0.9
1308,Rajon Rondo\rondora01,20-252,G,2006-11-01,BOS,,NOK,L,0,23,2,6,.333,2,5,.400,0,1,.000,2,4,.500,1,3,4,3,0,0,3,4,6,0.9
1309,Jared Sullinger\sullija01,20-240,F,2012-10-30,BOS,@,MIA,L,0,8,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9
1310,Peter Thibeaux\thibepe01,23-023,F,1984-10-26,GSW,,PHO,L,0,7,1,2,.500,1,2,.500,0,0,,0,2,.000,0,0,0,0,0,1,0,0,2,0.9
1311,Sindarius Thornwell\thornsi01,22-338,G,2017-10-19,LAC,@,LAL,W,0,3,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,3,0.9
1312,Eric White\whiteer01,22-086,F,1988-03-25,LAC,,GSW,W,0,12,1,5,.200,1,5,.200,0,0,,1,1,1.000,3,1,4,0,0,0,1,1,3,0.9
1313,Isaac Austin\austiis01,22-076,C,1991-11-02,UTA,@,IND,L,0,6,0,2,.000,0,2,.000,0,0,,1,2,.500,2,2,4,0,0,0,0,1,1,0.8
1314,Rich King\kingri01,22-215,C,1991-11-05,SEA,,SAC,W,0,8,2,5,.400,2,5,.400,0,0,,0,0,,2,1,3,0,0,0,1,3,4,0.8
1315,Todd MacCulloch\maccuto01,23-279,C,1999-11-02,PHI,@,SAS,L,0,7,1,3,.333,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,0,2,2,0.8
1316,Marlon Maxey\maxeyma01,23-288,F,1992-12-03,MIN,@,UTA,L,0,14,1,4,.250,1,4,.250,0,0,,0,0,,1,3,4,0,1,0,1,1,2,0.8
1317,Chris McCullough\mcculch01,21-003,F,2016-02-08,BRK,,DEN,W,0,11,1,3,.333,1,3,.333,0,0,,0,0,,1,1,2,0,1,1,1,3,2,0.8
1318,Loren Meyer\meyerlo01,22-308,C,1995-11-03,DAL,@,SAS,W,0,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,4,2,0.8
1319,Greg Monroe\monrogr01,20-148,C-F,2010-10-30,DET,@,CHI,L,0,7,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,1,3,2,0.8
1320,Tom Piotrowski\piotrto01,23-020,C,1983-11-06,POR,,PHO,W,0,5,0,0,,0,0,,0,0,,0,0,,0,3,3,0,0,1,0,2,0,0.8
1321,Lawrence Roberts\roberla01,23-013,F,2005-11-02,MEM,,MIA,L,0,8,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,2,1,0.8
1322,Michael Smith\smithmi01,24-182,F,1989-11-17,BOS,,MIN,W,0,13,2,4,.500,2,4,.500,0,0,,0,2,.000,0,1,1,1,0,0,1,1,4,0.8
1323,Chris Welp\welpch01,23-308,C,1987-11-06,PHI,,IND,W,0,12,1,2,.500,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,2,2,0.8
1324,Luke Babbitt\babbilu01,21-134,F,2010-11-01,POR,@,CHI,L,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1325,Steve Bardo\bardost01,23-320,G,1992-02-19,SAS,,MIN,W,0,1,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7
1326,Keith Benson\bensoke02,23-224,C,2012-03-24,GSW,,SAC,W,0,4,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,0,0,0.7
1327,Keith Booth\boothke01,23-030,F,1997-11-08,CHI,,NJN,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1328,Bruce Bowen\bowenbr01,25-275,F,1997-03-16,MIA,,HOU,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7
1329,Nicolas Brussino\brussni01,23-238,G-F,2016-10-26,DAL,@,IND,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1330,Alec Burks\burksal01,20-160,G,2011-12-27,UTA,@,LAL,L,0,6,0,2,.000,0,2,.000,0,0,,0,0,,1,0,1,2,0,0,0,0,0,0.7
1331,Kevin Burleson\burleke01,26-216,G,2005-11-11,CHA,,DAL,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1332,Robert Churchwell\churcro01,24-027,G-F,1996-03-18,GSW,@,SAS,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1333,Sherron Collins\collish01,23-230,G,2010-11-03,CHA,@,NJN,W,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7
1334,Nick Collison\collini01,24-008,F,2004-11-03,SEA,@,LAC,L,0,13,1,4,.250,1,4,.250,0,0,,0,0,,1,4,5,2,0,0,1,3,2,0.7
1335,Guillermo Diaz\diazgu01,22-317,G,2008-01-15,LAC,,PHO,W,0,5,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7
1336,Chris Douglas-Roberts\douglch01,21-295,G,2008-10-29,NJN,@,WAS,W,0,14,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,0.7
1337,Cleanthony Early\earlycl01,23-195,F,2014-10-29,NYK,,CHI,L,0,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1338,Cristiano Felicio\feliccr01,23-125,F-C,2015-11-09,CHI,@,PHI,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1339,Tom Garrick\garrito01,22-120,G,1988-11-04,LAC,@,PHI,L,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,2,0,2,0,0,0.7
1340,Daniel Gibson\gibsoda01,20-261,G,2006-11-15,CLE,,POR,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1341,Rudy Gobert\goberru01,21-126,C,2013-10-30,UTA,,OKC,L,0,23,1,2,.500,1,2,.500,0,0,,0,2,.000,3,4,7,0,0,0,2,2,2,0.7
1342,Malik Hairston\hairsma01,21-343,G,2009-01-31,SAS,,NOH,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7
1343,A.J. Hammons\hammoaj01,24-062,C,2016-10-28,DAL,,HOU,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1344,Charles Jenkins\jenkich01,22-300,G,2011-12-25,GSW,,LAC,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1345,Eugene Jeter\jetereu01,26-329,G,2010-10-27,SAC,@,MIN,W,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1346,Alexander Johnson\johnsal01,23-266,F,2006-11-01,MEM,,NYK,L,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1347,Nikola Jokic\jokicni01,20-251,C-F,2015-10-28,DEN,@,HOU,W,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
1348,Cory Joseph\josepco01,20-128,G,2011-12-26,SAS,,MEM,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1349,Jon Koncak\koncajo01,22-161,C-F,1985-10-25,ATL,,WSB,L,0,6,1,2,.500,1,2,.500,0,0,,1,2,.500,1,0,1,0,0,0,0,4,3,0.7
1350,Marcus Landry\landrma01,23-361,F,2009-10-28,NYK,@,MIA,L,0,2,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7
1351,Cuonzo Martin\marticu01,24-195,G-F,1996-04-05,VAN,@,LAL,L,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7
1352,Jelani McCoy\mccoyje01,21-065,C,1999-02-09,SEA,,GSW,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7
1353,Rodney McCray\mccraro01,22-067,F-G,1983-11-04,HOU,@,DET,W,0,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
